2023-08-15 00:00:00,BUDDY,HOMESTARS REVIEW
ANGELENE,RYAN,IF HAPPY WITH SERVICE
TAOS,SOLO SYNC UP,PARKER ONLY
ASSESS TIMING,,
,,
COMPANY:,FOUR SEASONS WINDOW CLEANING,
TIME:,,
ADDRESS:,,
"JOB/TASK, PRICE:",GABBY'S + BEACHES,
JOB NOTES:,"PLEASE GO BACK TO SLATE AND REMOVE HAND MARKS ON GLASS, MAY NEED MAGIC ERASER",
CLIENT:,,
COMP STATUS:,COMPLETED,
HOURS:,5.5 HRS,
CREW:,,
CREW NOTES:,,
CONTRACTOR NOTES:,,
PICTURES SUBMITTED:,,
,,
COMPANY:,SDM,tp
TIME:,BEFORE CLOSING,
ADDRESS:,"SIMPLY SHOPPERS 235 Danforth Ave Unit 101, Toronto, ON M4K 1N2",
JOB/TASK:,GEN CLEANING,
JOB NOTES:,,
CLIENT:,,
PAID IN:,,
COMP STATUS:,COMPLETED ,
HOURS:,45 MINS,
CREW NOTES:,,
CONTRACTOR NOTES: ,,
PICTURES SUBMITTED:,,
