2024-02-14 00:00:00,BUDDY,HOMESTARS REVIEW,SCHED/PPRWK NOTES DO NOT INTERFERE,Unnamed: 4
DERICK- SOLO SYNC,CONTACT PASSSION,IF HAPPY WITH SERVICE,EM,PA
HONDA,,PARKER ONLY,,
BOEM 6:30 AM,,,,
,,,,
COMPANY:,FOUR SEASONS,,,
TIME:,07:06:00,,,PAPERWORK RECEIVED
ADDRESS:,,,,
"JOB/TASK, PRICE:",GABBYS & BEACHES +AJAX ROUTE,,,
JOB NOTES:,"Work was slow due to use of a small double.which has damaged rubber,",,,
CLIENT:,,,,
COMP STATUS:,Complete ,,,
HOURS:,9.45,,,
CREW NOTES:,,,,
CONTRACTOR NOTES:,,,,
PICTURES SUBMITTED:,,,,
