2023-08-30 00:00:00,BUDDY,HOMESTARS REVIEW
"JOSIAH, EMELIA, WILL, ZEE","EMELIA-RYAN, JOSIAH-KALEIGH, WILL-ANGELENE, ZEE-PASSION",IF HAPPY WITH SERVICE
BOEM 6:15AM BE READY TO START JOB FOR 7:30AM,SYNC LEAD ,PARKER ONLY
WINDOW VAN - TAKE TWO AFRAMES,EMELIA,
,CONTACT ,
,PASSION,
,,
,"MAKE SURE Y'ALL LEAVE AT LEAST ONE YELLOW DOUBLE AND 5 SECTION AND BUCKET FOR ANGELENE, IF YOU CAN LEAVE A BIG DOUBLE THAT'D BE GOOD TOO BUT TAKE IT IF YOU NEED IT",
,"YOU WILL BE MEETING COREY THERE, RECORD TIME FOR THE JOBS YOU ARE WITH COREY",
,BRING DEDICATED INVOICE PAD!,
COMPANY:,DEDICATED,tp
TIME:,,
ADDRESS:,KIA APT NEEDED 85 CANAM CRESCENT ,
"JOB/TASK, PRICE:",(EXT 4 PPL 30 MIN) ($850) IWC EWC,
JOB NOTES:,,
CLIENT:,,NOTES IN HD SCHED
COMP STATUS:,,
HOURS:,2.5hrs (with Corey for 2hrs),
CREW NOTES:,,
CONTRACTOR NOTES:,,
PICTURES SUBMITTED:,,
,,
COMPANY:,DEDICATED,tp
TIME:,,
ADDRESS:,FORD ($850) APT NEEDED 111 CANAM CRESCENT 12/29/22 NOT DONE CIP NEED COREY,
"JOB/TASK, PRICE:",EWC IWC,
JOB NOTES:,Did not do too level because ladder work was unsafe for this dealership we must come very early before work hours do the top level by moving all desks must be done before 9am. Everything else can be done after 9. ,
CLIENT:,,
COMP STATUS:,,
HOURS:,2hrs 45min (with Corey) training for Will took longer and having to bring in ladder in and mishaps with with that. Next time will take same or longer because of info in above note ^,
CREW NOTES:,,
CONTRACTOR NOTES:,,
PICTURES SUBMITTED:,,
,,
COMPANY:,DEDICATED,tp
TIME:,,
ADDRESS:,"30 ACE DRIVE  ( 3 PPL 30 MIN RIGHT BY POLICARO ) (dont do windows on right side of building, do door beside garage doors on right side)",
"JOB/TASK, PRICE:",MAYFIELD HONDA ($700) APT NEEDED,
JOB NOTES:,EWC IWC,
CLIENT:,,
COMP STATUS:,,
HOURS:,1.5hrs (with Corey for 1hr),
CREW NOTES:,Do garage doors that are still part of show room only when really dirty ,
CONTRACTOR NOTES:,,
PICTURES SUBMITTED:,,
