2023-08-28 00:00:00,BUDDY,HOMESTARS REVIEW
"ROHAN, RYAN, JOSIAH, WILL","WILL-ANGELENE, JOSIAH-RYAN, ROHAN-PASSION",IF HAPPY WITH SERVICE
WINDOW VAN - TAKE TWO AFRAMES,"MAKE SURE Y'ALL LEAVE AT LEAST ONE YELLOW DOUBLE AND 5 SECTION AND BUCKET FOR ANGELENE, IF YOU CAN LEAVE A BIG DOUBLE THAT'D BE GOOD TOO BUT TAKE IT IF YOU NEED IT",PARKER ONLY
BOEM 6:15AM BE READY TO START JOB FOR 7:30AM,"YOU WILL BE MEETING COREY THERE, RECORD TIME FOR THE JOBS YOU ARE WITH COREY",
,BRING DEDICATED INVOICE PAD,
COMPANY:,DEDICATED,tp
TIME:,,
ADDRESS:,HONDA (NEW)  APT NEEDED 30 VAN KIRK DRIVE ,
"JOB/TASK, PRICE:",(EXT 4 PPL 30 MIN) NEED COREY ($850) IWC ETC ?,NOTES IN HD SCHED
JOB NOTES:,,
CLIENT:,,
COMP STATUS:,Complete,
HOURS:,4.5 Hours (4 for the inside) w/ corey,
CREW NOTES:,BRING INVOICE PAD WITH ALL OTHER CARBON COPIES OF DEALERSHIPS DONE THUS FAR.,
,,
CONTRACTOR NOTES:,,
PICTURES SUBMITTED:,,
,,
COMPANY:,DEDICATED,tp
TIME:,,
ADDRESS:,HONDA  (USED)  APT NEEDED 30 VAN KIRK DRIVE ,
"JOB/TASK, PRICE:",(EXT 4 PPL 30 MIN) NEED COREY ($850) IWC ETC?,NOTES IN HD SCHED
JOB NOTES:,,
CLIENT:,,
COMP STATUS:,Complete,
HOURS:,2 Hours (1.5 Hours inside) w/ corey,
CREW NOTES:,,
CONTRACTOR NOTES:,,
PICTURES SUBMITTED:,,
,,
COMPANY:,DEDICATED,tp
TIME:,,
ADDRESS:,"AUTO PLANET BRAMPTON 2830 QUEEN STREET WEST, ITS ACTUALLY QUEEN STREET EAST IN BRAMPTON, NOTES NEED TO BE BETTER ",NOTES IN HD SCHED
"JOB/TASK, PRICE:"," ($850)  (EXT 4 PPL 4 POLES 1.5HRS) (no greenhouse windows, waterfed above blue signs and signs in warm weather when we do insides aswell) NEED COREY,REQUIRES LIFT WORK. BRING HARNESSES X2;CORY CANT BE THERE SAYS HE WILL WALK YOU THROUGH IT OVER PHONE.",
JOB NOTES:,,
CLIENT:,,
COMP STATUS:,Complete,
HOURS:,3.5 Hours with Cory,
CREW NOTES:,Cory says to make sure all the yellow invoices come with team on Wednesday ,
CONTRACTOR NOTES:,,
PICTURES SUBMITTED:,,
