2023-07-16 00:00:00,Unnamed: 1,HOMESTARS REVIEW,BUDDY
"AUDIE, KAULIN, WILL, ARJUN, GAVIN, ROHAN",,IF HAPPY WITH SERVICE,
"FLOOR VAN, CAMRY",*POWERWASHERS NEEDED,PARKER ONLY,
BOEM 5:15,,,
,,,
COMPANY:,PARKER,TP,
TIME:,07:00:00,,
ADDRESS:,"10 Park Lawn RdToronto, ON, Canada",,
"JOB/TASK, PRICE:",Encore PW (walkways/stairs/ramp/commercial spots) Power washing of south and east walkways/stairs/ramp/commercial spots.,,
JOB NOTES:,📸 May need to provide some after photos for proof of completed work. Please send to Chloe by WhatsApp.,,
CLIENT:,,,
PAID IN:,,,
JOB ETC:,,,
COMP STATUS:,JOB DONE 4.5 HOURS,,
CREW NOTES:,,,
,,,
COMPANY:,PARKER,TP,
TIME:,,,
ADDRESS:,"2220 Lake Shore Blvd WToronto, ON, Canada",,
"JOB/TASK, PRICE:",Westlake Power washing of sidewalks + courtyard. The contract requires it to be done on a Sunday since the plaza is busy.,,
JOB NOTES:,📸 Need photos of completed work every time. Send to Chloe on WhatsApp for invoicing.,,
CLIENT:,,,
PAID IN:,,,
JOB ETC:,,,
COMP STATUS:,JOB DONE 4.5 HOURS,,
CREW NOTES:,,,
