2023-09-10 00:00:00,BUDDY,HOMESTARS REVIEW,SCHED/PPRWK NOTES DO NOT INTERFERE,Unnamed: 4
"JOSIAH,ROHAN",SYNC LEAD ROHAN,IF HAPPY WITH SERVICE,EM,PA
FLOOR VAN ,,PARKER ONLY,,
ASSESS TIMING TO BE AT JOB FOR 5:30PM,,,,
,,,,
COMPANY:,CLEAN MARK,TP,,
TIME:,"SUNDAY SEPTEMBER 10TH, 2023 @ 5:30PM",,,
ADDRESS:,"1779 Stone Church Rd E, Hamilton, ON",,,
"JOB/TASK, PRICE:",BEST BUY - STRIP AND WAX,,,
JOB NOTES:,,,,
CLIENT:,,,,
COMP STATUS:,JOB COMPLETED ,,,
HOURS:,7 HRS,,,
CREW NOTES:,,,,
CONTRACTOR NOTES:,,,,
PICTURES SUBMITTED:,,,,
