2024-01-11 00:00:00,BUDDY,HOMESTARS REVIEW,SCHED/PPRWK NOTES DO NOT INTERFERE,Unnamed: 4
DERICK,SOLO SYNC ,IF HAPPY WITH SERVICE,EM,PA
MAZDA,CONTACT KALEIGH,PARKER ONLY,,
BOEM 8 AM,,,,
,,,,
COMPANY:,FOUR SEASONS ,,,
TIME:,09:19:00,,,
ADDRESS:,,,,sent message to kaleigh
"JOB/TASK, PRICE:",BEACHES  ROUTE + 2848 Ellesmere Vindaloo Indian Cuisine window cleaning ,,,
JOB NOTES:,Kaleigh will call ahead of time to confirm which services they want. Moving to vindaloo took me a lot of time because it was rush hour.the client requested me to do what wasn't in job plan.mirror and taking off tape. I asked him to call mgt.the hoopers owner wasn't happy with cleaning interior door posters with amop.advised removal before next cleaning.apology given with remorse ,,,
CLIENT:,,,,
COMP STATUS:,Complete ,,,
HOURS:,51/2hrs,,,
CREW NOTES:,,,,
CONTRACTOR NOTES:,,,,
PICTURES SUBMITTED:,,,,
,,,,
COMPANY:,SDM,,,
TIME:,BEFORE CLOSING,,,
ADDRESS:,"SIMPLY SHOPPERS 235 Danforth Ave Unit 101, Toronto, ON M4K 1N2",,,
"JOB/TASK, PRICE:",GEN CLEANING,,,
JOB NOTES:,,,,
CLIENT:,,,,
COMP STATUS:,Complete ,,,
HOURS:,55minutes,,,
CREW NOTES:,,,,
CONTRACTOR NOTES:,,,,
PICTURES SUBMITTED:,,,,
,,,,
,Vindaloo Indian cuisine WC- 2848 Ellesmere,,,
